# SPDX-License-Identifier: MIT
# host sampler, 1 Hz, local time: ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib -- accounting policy, 2026-08-21.
ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib
20:43:11,7044,729,70,0,0,2997,2951
20:43:12,7080,693,75,0,0,3031,3025
20:43:13,6927,846,75,0,0,3089,3057
20:43:15,6919,854,75,0,0,2911,2991
20:43:16,7071,702,73,0,0,2991,3005
20:43:17,6918,854,57,0,0,3081,3091
20:43:18,6998,774,49,0,0,3071,3005
20:43:19,7046,726,45,0,0,3017,3083
20:43:20,6856,916,44,0,0,3071,3035
20:43:21,7042,730,44,0,0,3071,2999
20:43:22,6932,840,49,0,0,3003,2933
20:43:23,6956,816,76,0,0,2945,2939
20:43:24,6966,806,76,0,0,2967,2941
20:43:25,6948,824,76,0,0,3061,3091
20:43:26,7114,658,76,0,0,3087,2969
20:43:27,7082,690,73,0,0,3087,3015
20:43:28,6902,870,75,0,0,2977,3059
20:43:29,6984,788,64,0,0,3091,3027
20:43:30,7028,744,45,0,0,2965,3067
20:43:31,7092,680,45,0,0,3009,2997
20:43:33,6992,780,44,0,0,2997,2983
20:43:34,6946,826,57,0,0,3027,3005
20:43:35,6994,778,78,0,0,2959,3015
20:43:36,6964,808,76,0,0,2991,3045
20:43:37,6960,812,74,0,0,3005,3025
20:43:38,6934,838,72,0,0,3045,3015
20:43:39,6902,870,76,0,0,2983,2931
20:43:40,7072,700,71,0,0,3001,3019
20:43:41,7108,664,79,0,0,3071,2995
20:43:42,7132,640,74,0,0,2975,3035
20:43:43,7066,706,70,0,0,3037,3037
20:43:44,7072,700,72,0,0,2957,3093
20:43:45,6962,810,76,0,0,2991,2903
20:43:46,7064,708,77,0,0,2993,2921
20:43:47,7072,700,71,0,0,2985,2977
20:43:48,7050,722,76,0,0,2973,2991
20:43:49,7030,742,76,0,0,3085,3011
20:43:51,6986,786,74,0,0,3033,3051
20:43:52,6854,918,73,0,0,2987,3005
20:43:53,6992,780,72,0,0,3021,3075
20:43:54,6976,796,78,0,0,2977,3011
20:43:55,7124,648,79,0,0,3075,2973
20:43:56,6996,776,74,0,0,3065,2985
20:43:57,7062,710,71,0,0,2991,3037
20:43:58,6982,790,72,0,0,3075,3037
20:43:59,7002,770,77,0,0,3015,3065
20:44:00,7152,620,71,0,0,2963,3033
20:44:01,7108,664,75,0,0,2953,2941
20:44:02,7022,750,73,0,0,3079,3035
20:44:03,6860,912,66,0,0,3031,3007
20:44:04,7022,750,75,0,0,2993,2965
20:44:05,6968,804,78,0,0,3003,3089
20:44:06,7052,720,73,0,0,2953,2951
20:44:08,7028,744,75,0,0,3021,2975
20:44:09,6986,786,78,0,0,3025,3071
20:44:10,6962,811,65,0,0,3091,3023
20:44:11,7036,736,72,0,0,3051,2975
20:44:12,7137,636,74,0,0,2971,3093
20:44:13,7021,752,72,0,0,3013,2925
20:44:14,7047,726,75,0,0,2953,2929
20:44:15,6976,796,77,0,0,2967,2933
20:44:16,7016,756,67,0,0,3059,2985
20:44:17,7008,765,77,0,0,2975,3007
20:44:18,6965,807,68,0,0,3005,2939
20:44:19,6987,785,76,0,0,3087,3037
20:44:20,7097,676,74,0,0,2991,2967
20:44:21,7083,690,72,0,0,3073,3019
20:44:22,6920,852,74,0,0,2983,2953
20:44:23,7100,672,76,0,0,3007,3029
20:44:24,6930,842,76,0,0,2957,3017
20:44:26,7064,708,75,0,0,3003,3029
20:44:27,6980,792,72,0,0,3025,2947
20:44:28,6942,830,74,0,0,3023,3019
20:44:29,6968,805,72,0,0,3067,2949
20:44:30,7049,724,58,0,0,3045,3039
20:44:31,6986,786,76,0,0,2963,3041
20:44:32,6957,816,73,0,0,3015,3077
20:44:33,7009,764,54,0,0,3011,3059
20:44:34,6980,793,46,0,0,3051,2921
20:44:35,6963,809,44,0,0,3017,2999
20:44:36,7029,744,44,0,0,2977,2971
20:44:37,6923,850,45,0,0,3049,3007
20:44:38,7115,658,45,0,0,3023,3019
20:44:39,6973,800,70,0,0,3007,2955
20:44:40,6990,782,68,0,0,2955,3037
20:44:41,6926,847,64,0,0,2971,2975
20:44:42,6952,821,70,0,0,3045,2955
20:44:43,7049,724,74,0,0,3003,2951
20:44:45,7041,731,73,0,0,3089,3025
20:44:46,7037,735,73,0,0,3063,3091
20:44:47,7020,753,72,0,0,3051,2953
20:44:48,7087,686,74,0,0,3059,3071
20:44:49,7016,756,72,0,0,3019,2989
20:44:50,6914,858,72,0,0,3061,3071
20:44:51,6979,793,77,0,0,2991,2935
